DO030749-221025-UK6333d7,UK6333d7-221025-b3c5c90a,몽이,믹스 중형견,모르겠어요,14,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2498419477/c182f8f5.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2498419477/c182f8f5.jpeg,58,48,35.5,23,USER,USER,USER,USER,18:57.0,1,0,FALSE
DOb71e0e-221007-UK645c6d,UK645c6d-220922-75d13ed4,러뷰,푸들토이,모르겠어요,3.9,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439863420/151eeb0c.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439863420/151eeb0c.jpeg,38,35,24.6,20,USER,USER,USER,USER,51:40.8,0,0,FALSE
DOcdb59d-221017-UK6725f5,UK6725f5-221017-62615962,하이,비숑 프리제,모르겠어요,3.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487931172/2a453f11.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487931172/2a453f11.jpeg,25.3,29.5,20,18,USER,USER,USER,USER,02:39.7,1,0,FALSE
DO509bd2-221017-UK67d292,UK67d292-221017-effbcea1,탄이,포메라니안,모르겠어요,4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488098918/6f799481.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488098918/6f799481.jpeg,41,30,25,17.5,USER,USER,USER,USER,10:43.6,1,0,FALSE
DO703025-221007-UK6a206d,UK6a206d-221007-9ad7ee4b,후추,푸들토이,모르겠어요,3.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475502823/cf986284.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475502823/cf986284.jpeg,31,38,20,18,USER,USER,USER,USER,06:10.0,1,0,FALSE
DO7977bb-221026-UK6ac11c,UK6ac11c-221026-023f5cfa,도지,서섹스 스파니엘,모르겠어요,16,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499095096/9d6f9842.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499095096/9d6f9842.jpeg,30,30,30,24,USER,USER,USER,USER,15:13.7,1,0,FALSE
DO9a0c40-221024-UK6bb755,UK6bb755-221024-3712219e,도꿍,푸들토이,모르겠어요,6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496846033/388f8e7b.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496846033/388f8e7b.jpeg,42,37,26,22,USER,USER,USER,USER,43:51.9,1,0,FALSE
DO09fd25-221021-UK6e69d2,UK6e69d2-221021-3aabf3b3,정이,믹스 소형견,모르겠어요,8.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2493069146/4024f883.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2493069146/4024f883.jpeg,50,42,28,25,USER,USER,USER,USER,19:58.5,1,0,FALSE
DO96903b-221008-UK6efbcd,UK6efbcd-221008-e6a6fe57,태봉,포메라니안,모르겠어요,1.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2476137138/8c09223e.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2476137138/8c09223e.jpeg,20,20,10,3,USER,USER,USER,USER,30:12.3,1,0,FALSE
DO7d28c3-221024-UK7094bc,UK7094bc-221024-a0505388,릴리보나,푸들토이,모르겠어요,6.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497068008/00afeb70.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497068008/00afeb70.jpeg,15.3,30,7.3,8,USER,USER,USER,USER,37:49.5,1,0,FALSE
